,school_dist,SAT Critical Reading Avg. Score,SAT Math Avg. Score,SAT Writing Avg. Score,sat_score,AP Test Takers ,Total Exams Taken,Number of Exams with scores 3 4 or 5,Cohort,Total Cohort,NUMBER OF STUDENTS / SEATS FILLED,NUMBER OF SECTIONS,AVERAGE CLASS SIZE,SIZE OF SMALLEST CLASS,SIZE OF LARGEST CLASS,SCHOOLWIDE PUPIL-TEACHER RATIO,schoolyear,fl_percent,frl_percent,total_enrollment,grade9,grade10,ell_num,ell_percent,sped_num,sped_percent,asian_num,asian_per,black_num,black_per,hispanic_num,hispanic_per,white_num,white_per,male_num,male_per,female_num,female_per,rr_s,rr_t,rr_p,N_s,N_t,N_p,saf_p_11,com_p_11,eng_p_11,aca_p_11,saf_t_11,com_t_11,eng_t_11,aca_t_11,saf_s_11,com_s_11,eng_s_11,aca_s_11,saf_tot_11,com_tot_11,eng_tot_11,aca_tot_11,grade_span_max,expgrade_span_max,zip,total_students,number_programs,priority08,priority09,priority10,lat,lon
10,11,389.8666666666667,394.53333333333336,380.6,1165.0,83.81346153846154,122.48461538461541,108.83333333333334,2006.0,122.86666666666666,129.03103145936737,5.037051902632397,24.956523002768357,19.784469384244925,29.52354894589415,0.0,20112012.0,0.0,66.96000000000001,562.4666666666667,193.0,155.53333333333333,61.666666666666664,12.13333333333333,105.6,17.38,19.8,3.8466666666666662,243.0,41.34666666666667,278.26666666666665,50.84666666666667,16.4,3.1133333333333337,319.8666666666667,55.89999999999999,242.6,44.1,80.4,79.93333333333334,42.46666666666667,400.73333333333335,27.466666666666665,190.8,8.053333333333333,7.6933333333333325,7.546666666666668,7.826666666666665,7.026666666666666,6.766666666666666,6.999999999999999,7.540000000000001,6.1866666666666665,5.746666666666666,6.26,7.213333333333334,7.086666666666665,6.74,6.94,7.526666666666666,12.0,12.0,10467.933333333332,563.6666666666666,1.5333333333333334,0.0,0.0,0.0,40.873138329133795,-73.85611953619964
11,12,364.7699004975124,379.1094527363184,357.94378109452737,1101.8231343283583,93.1025641025641,139.44230769230774,153.45000000000002,1504.5,110.46774193548386,91.68450410313801,4.15186533560179,22.212077603017036,18.48731245105084,25.804834326535175,0.0,20112012.0,0.0,81.73333333333333,391.0,112.83333333333333,107.0,105.5,27.14166666666667,70.66666666666667,17.21666666666667,5.5,1.5916666666666666,109.75,28.075000000000003,271.75,69.275,3.0,0.8250000000000002,199.91666666666666,50.13333333333335,191.08333333333334,49.86666666666665,80.0,79.75,49.166666666666664,277.3333333333333,21.166666666666668,163.08333333333334,8.65,8.008333333333335,7.808333333333334,8.166666666666666,7.266666666666668,6.758333333333333,7.25,7.816666666666667,7.116666666666667,6.566666666666667,7.116666666666666,7.783333333333334,7.666666666666667,7.1000000000000005,7.391666666666667,7.916666666666665,12.0,12.0,10463.166666666666,409.0,1.0833333333333333,0.0,0.0,0.0,40.83141226741713,-73.88694636583297
12,13,409.3938002296211,424.12743972445463,403.6663605051665,1237.1876004592423,232.9319526627219,382.70414201183434,320.77307692307687,1697.3846153846155,224.59553349875932,218.30605514031623,8.00384158127073,24.621783576297748,19.625240739916855,28.672264858398464,0.0,20112012.0,0.0,63.861538461538466,902.0,237.3846153846154,231.53846153846155,35.46153846153846,8.723076923076924,65.6923076923077,12.084615384615386,272.46153846153845,10.453846153846154,416.0,68.47692307692307,110.0,16.27692307692308,96.23076923076923,3.623076923076922,482.7692307692308,48.70769230769231,419.2307692307692,51.29230769230769,84.15384615384616,77.61538461538461,35.76923076923077,759.8461538461538,40.0,318.38461538461536,8.330769230769231,7.700000000000001,7.6923076923076925,7.884615384615385,7.092307692307691,6.8307692307692305,7.069230769230769,7.6,6.407692307692307,6.069230769230769,6.576923076923077,7.376923076923077,7.269230769230769,6.86923076923077,7.1230769230769235,7.607692307692307,12.0,12.0,11207.153846153846,895.1538461538462,2.076923076923077,0.0,0.0,0.0,40.692864560077396,-73.97701599069195
13,14,395.93710021321965,398.1897654584222,385.33304904051175,1179.4599147121535,77.79807692307693,114.8736263736264,123.28214285714287,1862.7142857142858,112.34792626728111,123.64372819640677,4.905127114948543,24.311291208791207,19.554945054945055,28.511594060701203,0.0,20112012.0,0.0,75.92857142857143,556.2142857142857,164.92857142857142,137.42857142857142,57.785714285714285,9.485714285714286,97.71428571428571,18.599999999999998,19.5,3.8714285714285714,222.42857142857142,42.228571428571435,291.92857142857144,49.66428571428572,18.714285714285715,3.507142857142857,324.7142857142857,58.050000000000004,231.5,41.942857142857136,77.71428571428571,85.5,35.07142857142857,395.64285714285717,32.42857142857143,158.21428571428572,8.357142857142858,7.864285714285715,7.7357142857142875,7.971428571428571,7.2714285714285705,6.6499999999999995,7.257142857142857,7.735714285714287,6.685714285714285,6.207142857142857,6.742857142857143,7.507142857142859,7.435714285714286,6.9142857142857155,7.25,7.750000000000001,12.0,12.0,11210.785714285714,545.3571428571429,2.0,0.0,0.0,0.0,40.7115993947862,-73.94835999728535
14,15,395.67993366500826,404.6285240464345,390.2958540630182,1190.604311774461,94.57478632478633,141.58119658119662,153.45000000000002,1783.111111111111,104.2078853046595,135.70731922398588,5.2365883390393195,25.423643272123666,20.900953159041396,29.287014991181664,0.0,20112012.0,0.0,70.8,562.6666666666666,137.66666666666666,142.66666666666666,48.888888888888886,8.844444444444443,103.33333333333333,17.866666666666667,26.333333333333332,4.966666666666667,251.77777777777777,47.0,246.11111111111111,41.26666666666667,36.44444444444444,6.377777777777777,270.6666666666667,48.21111111111111,292.0,51.788888888888884,81.44444444444444,82.88888888888889,32.333333333333336,433.0,34.77777777777778,170.0,8.077777777777778,7.577777777777778,7.477777777777778,7.844444444444444,6.566666666666666,5.877777777777776,6.288888888888889,7.011111111111111,6.177777777777778,5.9,6.333333333333334,7.222222222222222,6.933333333333334,6.444444444444445,6.7,7.366666666666666,12.0,12.0,11214.222222222223,573.1111111111111,1.6666666666666667,0.0,0.0,0.0,40.67597201177826,-73.98925499922188
15,16,371.52985074626866,379.1641791044776,369.41567164179105,1120.1097014925374,82.26442307692308,126.51923076923077,153.45,1003.0,247.18548387096774,177.50128205128203,6.9705128205128215,24.234006410256413,18.070192307692306,29.30833333333333,0.0,20112012.0,0.0,66.14999999999999,658.5,124.0,141.5,18.75,3.7249999999999996,131.75,19.775,4.75,1.075,562.0,80.14999999999999,80.75,16.9,4.5,0.925,377.75,53.4,280.75,46.6,68.5,75.25,19.5,458.0,31.5,122.0,7.375,6.9,6.875,7.075,5.75,5.25,6.025,6.275,5.875,5.775,6.225,7.1000000000000005,6.325000000000001,5.9750000000000005,6.375,6.824999999999999,12.0,12.0,11219.0,440.25,1.75,0.0,0.0,0.0,40.68800751400046,-73.92968620574965
16,17,386.57142857142856,394.07142857142856,380.7857142857143,1161.4285714285713,105.58379120879123,163.08791208791212,111.3607142857143,2006.0,121.35714285714286,130.24619219482665,5.135694405967515,25.40885406085511,20.284340915853523,29.620045518207284,0.0,20112012.0,0.0,67.63571428571427,554.2857142857143,142.0,145.0,52.357142857142854,11.28571428571429,54.57142857142857,10.62142857142857,16.857142857142858,3.607142857142857,474.2857142857143,83.07142857142857,50.642857142857146,10.664285714285716,9.0,2.05,242.85714285714286,47.99999999999999,311.42857142857144,52.00000000000001,78.78571428571429,77.71428571428571,41.214285714285715,426.42857142857144,27.357142857142858,209.85714285714286,7.835714285714287,7.6428571428571415,7.549999999999999,7.828571428571428,6.957142857142856,6.6000000000000005,7.192857142857143,7.642857142857143,6.007142857142858,5.885714285714286,6.3999999999999995,7.228571428571429,6.935714285714285,6.707142857142858,7.0357142857142865,7.57142857142857,12.0,12.0,11220.642857142857,547.0714285714286,1.6428571428571428,0.0,0.0,0.0,40.660312690000474,-73.95563569785676
17,18,373.45454545454544,373.09090909090907,371.45454545454544,1118.0,129.02884615384616,197.0384615384616,153.45000000000002,1276.5454545454545,72.77126099706744,72.20943810973716,3.3179547525839386,22.10253793920062,18.814864123117715,25.448084484627543,0.0,20112012.0,0.0,65.89999999999999,332.27272727272725,98.63636363636364,94.45454545454545,29.545454545454547,8.754545454545454,53.36363636363637,16.363636363636367,4.181818181818182,1.2363636363636366,290.27272727272725,87.32727272727271,32.36363636363637,9.718181818181819,3.727272727272727,1.1636363636363638,164.9090909090909,51.22727272727272,167.36363636363637,48.77272727272727,78.18181818181819,83.36363636363636,31.454545454545453,222.1818181818182,18.454545454545453,89.18181818181819,8.272727272727273,7.718181818181819,7.572727272727272,7.963636363636365,6.890909090909091,6.4,6.9363636363636365,7.390909090909091,6.1909090909090905,6.018181818181817,6.409090909090909,7.20909090909091,7.109090909090909,6.718181818181819,6.963636363636365,7.527272727272727,12.0,12.0,11224.0,344.0,1.0909090909090908,0.0,0.0,0.0,40.641862776636835,-73.91472575354513
18,19,367.0833333333333,377.5833333333333,359.1666666666667,1103.8333333333333,88.09775641025641,124.76923076923082,120.67083333333335,1838.8333333333333,114.3225806451613,105.75262452975302,4.247924382763778,24.314441945545855,19.921010870149804,28.14899575184018,0.0,20112012.0,0.0,71.83333333333333,492.5,146.75,125.83333333333333,62.833333333333336,14.941666666666668,75.66666666666667,15.291666666666664,15.75,3.1916666666666664,285.0,55.066666666666656,182.66666666666666,39.916666666666664,5.833333333333333,1.1500000000000001,284.5,53.724999999999994,208.0,46.275,70.83333333333333,89.16666666666667,34.083333333333336,311.9166666666667,28.5,141.33333333333334,7.591666666666666,7.575,7.375,7.658333333333332,6.516666666666667,6.3999999999999995,6.766666666666666,7.308333333333334,6.1499999999999995,5.933333333333334,6.458333333333333,7.141666666666667,6.758333333333333,6.641666666666667,6.866666666666667,7.350000000000001,12.0,12.0,11207.5,440.4166666666667,1.9166666666666667,0.0,0.0,0.0,40.67654695925047,-73.8821576699163
19,20,406.22388059701495,465.7313432835821,401.73253731343283,1273.68776119403,227.80576923076924,359.40769230769234,177.69,1604.8,591.3741935483871,420.02976608187134,14.721019214703427,25.42336591478697,17.68156223893066,29.74583124477861,0.0,20112012.0,0.0,65.84,2462.6,734.2,780.2,601.4,20.8,341.2,15.139999999999997,844.6,32.92,186.8,12.620000000000001,766.0,32.3,658.2,21.839999999999996,1345.2,44.92,1117.4,55.08,64.4,78.2,25.0,1360.2,107.0,602.4,7.92,7.18,7.24,7.459999999999999,7.8199999999999985,7.659999999999999,7.8,8.279999999999998,7.12,6.34,7.039999999999999,7.639999999999999,7.62,7.08,7.38,7.8,12.0,12.0,11210.2,2521.4,3.8,0.0,0.0,0.0,40.626751010200465,-74.00619053079966
